timestamp_utc,player_id,hand_index,stage,player_cards,dealer_upcard,action_taken,pbs_action,penalty_pct,explanation,base_bet,penalty_dollars,sentence
2025-10-10T04:37:31Z,1,0,initial,8D JH,QH,hit,stand,,Hard 18 vs dealer QH. Player hit (initial). PBS recommends stand.,10.0,,Player 1 bet $10.00. Hard 18 vs dealer QH. Player hit (initial). PBS recommends stand. This mistake increased the expected house edge by nan% for the round.
2025-10-10T04:37:31Z,2,0,initial,7H 3C,QH,stand,hit,,Hard 10 vs dealer QH. Player stand (initial). PBS recommends hit.,10.0,,Player 2 bet $10.00. Hard 10 vs dealer QH. Player stand (initial). PBS recommends hit. This mistake increased the expected house edge by nan% for the round.
2025-10-10T04:38:58Z,0,0,initial,8H 3H,7C,hit,double,,Hard 11 vs dealer 7C. Player hit (initial). PBS recommends double.,10.0,,Player 0 bet $10.00. Hard 11 vs dealer 7C. Player hit (initial). PBS recommends double. This mistake increased the expected house edge by nan% for the round.
2025-10-10T04:40:10Z,0,0,initial,4C 3H,AH,stand,hit,,Hard 7 vs dealer AH. Player stand (initial). PBS recommends hit.,10.0,,Player 0 bet $10.00. Hard 7 vs dealer AH. Player stand (initial). PBS recommends hit. This mistake increased the expected house edge by nan% for the round.
2025-10-10T04:40:10Z,0,0,initial,4C 3H,AH,stand,hit,,Hard 7 vs dealer AH. Player stand (initial). PBS recommends hit.,10.0,,Player 0 bet $10.00. Hard 7 vs dealer AH. Player stand (initial). PBS recommends hit. This mistake increased the expected house edge by nan% for the round.
2025-10-10T04:40:10Z,1,0,final,QH 2D KC,8H,hit,stand,,Hard 22 vs dealer 8H. Player hit (final). PBS recommends stand.,10.0,,Player 1 bet $10.00. Hard 22 vs dealer 8H. Player hit (final). PBS recommends stand. This mistake increased the expected house edge by nan% for the round.
2025-10-10T04:40:10Z,1,0,final,QH 2D KC,8H,hit,stand,,Hard 22 vs dealer 8H. Player hit (final). PBS recommends stand.,10.0,,Player 1 bet $10.00. Hard 22 vs dealer 8H. Player hit (final). PBS recommends stand. This mistake increased the expected house edge by nan% for the round.
2025-10-10T04:40:10Z,1,0,initial,5D AD,AH,stand,hit,,Soft 16 vs dealer AH. Player stand (initial). PBS recommends hit.,10.0,,Player 1 bet $10.00. Soft 16 vs dealer AH. Player stand (initial). PBS recommends hit. This mistake increased the expected house edge by nan% for the round.
2025-10-10T04:40:10Z,1,0,initial,5D AD,AH,stand,hit,,Soft 16 vs dealer AH. Player stand (initial). PBS recommends hit.,10.0,,Player 1 bet $10.00. Soft 16 vs dealer AH. Player stand (initial). PBS recommends hit. This mistake increased the expected house edge by nan% for the round.
2025-10-10T04:40:10Z,2,0,initial,KC 6C,8H,stand,hit,,Hard 16 vs dealer 8H. Player stand (initial). PBS recommends hit.,10.0,,Player 2 bet $10.00. Hard 16 vs dealer 8H. Player stand (initial). PBS recommends hit. This mistake increased the expected house edge by nan% for the round.
2025-10-10T04:40:10Z,2,0,initial,KC 6C,8H,stand,hit,,Hard 16 vs dealer 8H. Player stand (initial). PBS recommends hit.,10.0,,Player 2 bet $10.00. Hard 16 vs dealer 8H. Player stand (initial). PBS recommends hit. This mistake increased the expected house edge by nan% for the round.
2025-10-10T04:40:10Z,2,0,initial,KS 6C,AH,stand,surrender,0.0045,Hard 16 vs dealer AH. Player stand (initial). PBS recommends surrender.,10.0,0.045,Player 2 bet $10.00. Hard 16 vs dealer AH. Player stand (initial). PBS recommends surrender. This mistake increased the expected house edge by 0.45% for the round.
2025-10-10T04:40:10Z,2,0,initial,KS 6C,AH,stand,surrender,0.0045,Hard 16 vs dealer AH. Player stand (initial). PBS recommends surrender.,10.0,0.045,Player 2 bet $10.00. Hard 16 vs dealer AH. Player stand (initial). PBS recommends surrender. This mistake increased the expected house edge by 0.45% for the round.
2025-10-10T04:41:17Z,0,0,initial,7H QD,10D,surrender,stand,,Hard 17 vs dealer 10D. Player surrender (initial). PBS recommends stand.,10.0,,Player 0 bet $10.00. Hard 17 vs dealer 10D. Player surrender (initial). PBS recommends stand. This mistake increased the expected house edge by nan% for the round.
2025-10-10T04:41:17Z,1,0,final,8S 6D AC 2S 7S,10D,hit,stand,,Hard 24 vs dealer 10D. Player hit (final). PBS recommends stand.,10.0,,Player 1 bet $10.00. Hard 24 vs dealer 10D. Player hit (final). PBS recommends stand. This mistake increased the expected house edge by nan% for the round.
2025-10-10T04:41:17Z,2,0,initial,JH 4S,10D,stand,hit,,Hard 14 vs dealer 10D. Player stand (initial). PBS recommends hit.,10.0,,Player 2 bet $10.00. Hard 14 vs dealer 10D. Player stand (initial). PBS recommends hit. This mistake increased the expected house edge by nan% for the round.
