timestamp_utc,player_id,table_id,result,base_bet,bankroll_before,bankroll_after,dealer_total,dealer_upcard,dealer_hand_json,player_totals,player_hands_json,player_actions_json,meta_json
2025-10-10T07:18:19Z,0,1,75.0,50.0,1000.0,1075.0,19,KS,"{""cards"": [""KS"", ""9D""], ""total"": 19, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 0.0}",[21],"[{""cards"": [""10S"", ""AD""], ""total"": 21, ""blackjack"": true, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 50.0}]","[""stand""]","{""rule_set"": ""BlackjackRules(decks=6, dealer_hits_soft_17=True, double_after_split=True, surrender_allowed=True, blackjack_pays_ratio=(3, 2), resplit_limit=3, resplit_aces_allowed=False)"", ""num_decks"": 6, ""penetration"": 0.75}"
2025-10-10T07:18:19Z,1,1,-50.0,50.0,1000.0,950.0,19,KS,"{""cards"": [""KS"", ""9D""], ""total"": 19, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 0.0}",[28],"[{""cards"": [""8H"", ""KC"", ""QS""], ""total"": 28, ""blackjack"": false, ""busted"": true, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 50.0}]","[""hit""]","{""rule_set"": ""BlackjackRules(decks=6, dealer_hits_soft_17=True, double_after_split=True, surrender_allowed=True, blackjack_pays_ratio=(3, 2), resplit_limit=3, resplit_aces_allowed=False)"", ""num_decks"": 6, ""penetration"": 0.75}"
2025-10-10T07:18:50Z,0,1,50.0,50.0,1075.0,1125.0,18,2S,"{""cards"": [""2S"", ""KH"", ""6D""], ""total"": 18, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 0.0}",[21],"[{""cards"": [""3C"", ""AS"", ""7C""], ""total"": 21, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 50.0}]","[""hit"", ""stand""]","{""rule_set"": ""BlackjackRules(decks=6, dealer_hits_soft_17=True, double_after_split=True, surrender_allowed=True, blackjack_pays_ratio=(3, 2), resplit_limit=3, resplit_aces_allowed=False)"", ""num_decks"": 6, ""penetration"": 0.75}"
2025-10-10T07:18:50Z,1,1,50.0,50.0,950.0,1000.0,18,2S,"{""cards"": [""2S"", ""KH"", ""6D""], ""total"": 18, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 0.0}",[19],"[{""cards"": [""9S"", ""JH""], ""total"": 19, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 50.0}]","[""stand""]","{""rule_set"": ""BlackjackRules(decks=6, dealer_hits_soft_17=True, double_after_split=True, surrender_allowed=True, blackjack_pays_ratio=(3, 2), resplit_limit=3, resplit_aces_allowed=False)"", ""num_decks"": 6, ""penetration"": 0.75}"
2025-10-10T07:19:29Z,0,1,-50.0,50.0,1125.0,1075.0,21,5D,"{""cards"": [""5D"", ""AC"", ""7S"", ""8D""], ""total"": 21, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 0.0}",[15],"[{""cards"": [""KS"", ""5D""], ""total"": 15, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 50.0}]","[""stand""]","{""rule_set"": ""BlackjackRules(decks=6, dealer_hits_soft_17=True, double_after_split=True, surrender_allowed=True, blackjack_pays_ratio=(3, 2), resplit_limit=3, resplit_aces_allowed=False)"", ""num_decks"": 6, ""penetration"": 0.75}"
2025-10-10T07:19:29Z,1,1,-100.0,50.0,1000.0,900.0,21,5D,"{""cards"": [""5D"", ""AC"", ""7S"", ""8D""], ""total"": 21, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 0.0}",[14],"[{""cards"": [""2D"", ""5H"", ""7C""], ""total"": 14, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": true, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 100.0}]","[""double""]","{""rule_set"": ""BlackjackRules(decks=6, dealer_hits_soft_17=True, double_after_split=True, surrender_allowed=True, blackjack_pays_ratio=(3, 2), resplit_limit=3, resplit_aces_allowed=False)"", ""num_decks"": 6, ""penetration"": 0.75}"
2025-10-10T07:20:23Z,0,1,50.0,50.0,1075.0,1125.0,24,5D,"{""cards"": [""5D"", ""4D"", ""5H"", ""QS""], ""total"": 24, ""blackjack"": false, ""busted"": true, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 0.0}",[17],"[{""cards"": [""8C"", ""9D""], ""total"": 17, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 50.0}]","[""stand""]","{""rule_set"": ""BlackjackRules(decks=6, dealer_hits_soft_17=True, double_after_split=True, surrender_allowed=True, blackjack_pays_ratio=(3, 2), resplit_limit=3, resplit_aces_allowed=False)"", ""num_decks"": 6, ""penetration"": 0.75}"
2025-10-10T07:20:23Z,1,1,100.0,50.0,900.0,1000.0,24,5D,"{""cards"": [""5D"", ""4D"", ""5H"", ""QS""], ""total"": 24, ""blackjack"": false, ""busted"": true, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 0.0}","[19, 19]","[{""cards"": [""9C"", ""QC""], ""total"": 19, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": true, ""wager"": 50.0}, {""cards"": [""9D"", ""KD""], ""total"": 19, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": true, ""wager"": 50.0}]","[""split"", ""stand"", ""stand""]","{""rule_set"": ""BlackjackRules(decks=6, dealer_hits_soft_17=True, double_after_split=True, surrender_allowed=True, blackjack_pays_ratio=(3, 2), resplit_limit=3, resplit_aces_allowed=False)"", ""num_decks"": 6, ""penetration"": 0.75}"
2025-10-10T07:21:10Z,0,1,-50.0,50.0,1125.0,1075.0,21,5S,"{""cards"": [""5S"", ""3H"", ""7D"", ""AC"", ""5D""], ""total"": 21, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 0.0}",[18],"[{""cards"": [""7H"", ""3D"", ""8D""], ""total"": 18, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 50.0}]","[""hit"", ""stand""]","{""rule_set"": ""BlackjackRules(decks=6, dealer_hits_soft_17=True, double_after_split=True, surrender_allowed=True, blackjack_pays_ratio=(3, 2), resplit_limit=3, resplit_aces_allowed=False)"", ""num_decks"": 6, ""penetration"": 0.75}"
2025-10-10T07:21:10Z,1,1,-100.0,50.0,1000.0,900.0,21,5S,"{""cards"": [""5S"", ""3H"", ""7D"", ""AC"", ""5D""], ""total"": 21, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": false, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 0.0}",[17],"[{""cards"": [""5S"", ""9D"", ""3C""], ""total"": 17, ""blackjack"": false, ""busted"": false, ""surrendered"": false, ""doubled"": true, ""split_aces"": false, ""originated_from_split"": false, ""wager"": 100.0}]","[""double""]","{""rule_set"": ""BlackjackRules(decks=6, dealer_hits_soft_17=True, double_after_split=True, surrender_allowed=True, blackjack_pays_ratio=(3, 2), resplit_limit=3, resplit_aces_allowed=False)"", ""num_decks"": 6, ""penetration"": 0.75}"
